Website Name,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Dispensers,No_of _Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS
House 1,4628.26,2,2014,9.5,Yes,7,3,2,1,1,3 phase,5,5,0,0,3,2,3,1,1,6,8,0,2,3,2,105,1
House 2,2722.51,2,2008,12,No,7,4,1,1,1,3 phase,6,6,0,0,6,0,4,1,1,8,12,0,1,0,1,30,2
House 3,10890,2,1992,10,Yes,14,7,5,1,1,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,1,2,1,59,1
House 4,5445.01,2,2005,10,Yes,7,4,1,1,1,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,1,0,1,55,2
House 5,3267.01,2,1985,11,No,5,2,1,1,1,3 phase,5,4,0,1,5,0,2,2,1,6,6,0,1,1,1,14,1
House 6,2722.51,2,2010,12,No,7,3,2,1,1,3 phase,4,4,0,0,4,0,4,2,1,8,9,1,0,0,1,40,1
House 7,2450.25,2,2015,10,Yes,6,3,1,1,1,3 phase,5,3,1,1,5,0,5,1,2,8,10,1,0,0,1,30,1
House 8,816.752,2,1990,15,No,3,1,0,1,1,1 phase,5,4,1,0,5,0,1,1,1,13,3,0,1,0,1,12,1
House 9,2722.51,2,2013,15,No,7,4,1,1,1,3 phase,3,3,0,0,3,0,5,1,1,3,9,0,1,0,1,30,1
House 10,8167.52,2,1995,10,No,7,4,1,1,1,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,0,3,1,21,1
House 11,1089,2,2008,10,No,3,1,1,0,1,1 phase,6,3,2,1,6,0,1,1,2,6,4,0,1,0,1,8,0
House 12,2722.51,1,2000,12,No,6,3,1,1,1,1 phase,6,3,3,0,6,0,4,1,1,5,7,0,0,2,1,29,0
House 13,1987.43,2,2013,10,No,6,3,2,0,1,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,0,1,25,1
House 14,24502.5,1,2010,12,No,5,2,1,1,1,3 phase,5,2,3,0,5,0,2,1,1,4,5,0,0,0,1,16,1
House 15,5445.01,2,2012,10,No,12,6,3,1,2,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,1,0,1,146,2
House 16,32670.1,1,2009,11,Yes,8,4,1,1,2,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,1,0,2,120,0
House 17,2450.25,2,2011,10,No,4,1,1,1,1,3 phase,6,6,0,0,5,1,6,1,1,9,8,1,1,2,1,36,1
House 18,680.626,3,2005,15,No,5,2,1,1,1,1 phase,7,5,2,0,7,0,2,1,1,4,8,0,1,1,2,24,1
House 19,2450.25,2,2014,12,No,6,3,1,1,1,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,1,0,1,40,1
House 20,1361.25,3,1986,10,No,8,4,2,1,1,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,1,0,2,27,1
House 21,1361.25,2,2015,12,No,7,3,1,1,2,1 phase,10,6,2,2,10,0,2,2,1,13,9,0,1,0,2,82,1
House 22,4356.01,2,2014,13,Yes,6,3,1,1,1,3 phase,5,4,1,0,3,2,2,2,2,7,9,1,0,1,1,25,1
House 23,4900.51,2,2005,10,No,10,5,2,1,2,3 phase,5,4,3,1,5,5,3,1,1,3,6,0,0,2,1,6,1
House 24,2722.51,1,1980,12,No,6,3,1,1,1,1 phase,9,4,4,1,7,2,4,2,1,7,8,0,1,0,1,13,1
House 25,2248.789,2,2011,11,No,6,3,1,1,1,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,0,1,43,1
House 26,10890,1,1976,12,No,7,4,1,1,1,1 phase,6,2,2,2,6,0,4,3,2,10,11,1,1,2,0,34,1
House 27,1089,1,2008,11,No,6,5,0,0,1,2 phase,4,2,2,0,4,0,2,1,1,0,7,0,0,0,0,11,1
