House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_DR_kW,UPS_kW,LR_kW,Kitchen_kW,AC_DNR_kW,AC_BR_kW
House1,2018-07-15 00:00:00,2.265483333333333,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.0003483333333333338,0.25579499999999994,0.18928166666666668,0.249875,0.0054716666666666655,0.8932450000000001
House1,2018-07-15 01:00:00,1.6431466666666663,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.0003883333333333336,0.23318666666666665,0.1445983333333333,0.199225,0.0031399999999999987,0.42737666666666657
House1,2018-07-15 02:00:00,1.40867,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.00034833333333333347,0.21959000000000006,0.13824999999999996,0.09985833333333337,0.002495,0.3412966666666667
House1,2018-07-15 03:00:00,1.3903299999999996,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.00034166666666666693,0.21759833333333334,0.138475,0.12353333333333333,0.001895,0.2980133333333333
House1,2018-07-15 04:00:00,1.3329566666666666,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.00032166666666666693,0.2153266666666666,0.1375916666666667,0.12588999999999995,0.0019416666666666668,0.2427683333333333
House1,2018-07-15 05:00:00,1.3596883333333336,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.00038500000000000014,0.21783500000000008,0.1404416666666667,0.12367500000000005,0.0018366666666666668,0.2564533333333333
House1,2018-07-15 06:00:00,1.1350816666666668,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,4.499999999999998e-05,0.21685,0.13988666666666666,0.10276333333333333,0.002785000000000001,0.2428650000000001
House1,2018-07-15 07:00:00,0.9887450000000001,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.00010500000000000003,0.19803166666666672,0.06566999999999999,0.08687666666666663,0.002981666666666667,0.24896
House1,2018-07-15 08:00:00,0.8057633333333333,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.00010500000000000006,0.1906383333333333,0.012198333333333323,0.09528666666666667,0.004168333333333333,0.12748166666666674
House1,2018-07-15 09:00:00,0.9074549999999999,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.000265,0.21827,0.01201166666666667,0.2226533333333333,0.008454999999999997,0.00044666666666666677
House1,2018-07-15 10:00:00,1.2513550000000002,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.00013000000000000007,0.20833999999999994,0.012061666666666677,0.15592499999999992,0.0068749999999999966,0.0004600000000000002
