House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_kW,AC_kW.1,Kitchen_kW,UPS_kW
House10,2018-06-01 00:00:00,0.6168933333333333,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0004466666666666669,0.001614999999999999,0.2391016666666665,0.35899499999999995
House10,2018-06-01 01:00:00,0.5114250000000001,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0004916666666666668,0.0016533333333333315,0.232045,0.2605800000000001
House10,2018-06-01 02:00:00,0.41979666666666665,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0004650000000000002,0.001676666666666665,0.2021466666666666,0.19859666666666667
House10,2018-06-01 03:00:00,0.5045966666666666,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0004350000000000005,0.0016200000000000006,0.20291000000000006,0.2831533333333334
House10,2018-06-01 04:00:00,0.33404333333333336,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.00047333333333333347,0.001598333333333334,0.19355666666666674,0.12197000000000005
House10,2018-06-01 05:00:00,0.3365216666666665,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0005150000000000003,0.001618333333333333,0.193185,0.12473666666666668
House10,2018-06-01 06:00:00,0.32674666666666674,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0005200000000000003,0.0016100000000000008,0.19063166666666664,0.11745833333333335
House10,2018-06-01 07:00:00,0.3099433333333334,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0004750000000000002,0.001598333333333334,0.18475999999999998,0.10699833333333328
House10,2018-06-01 08:00:00,0.349355,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0004183333333333337,0.0015600000000000006,0.1993133333333334,0.124555
House10,2018-06-01 09:00:00,0.3129583333333334,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.00042500000000000046,0.0015466666666666671,0.16988166666666665,0.12548833333333334
House10,2018-06-01 10:00:00,0.3905666666666666,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.00039833333333333366,0.001578333333333334,0.18112333333333328,0.19149166666666667
House10,2018-06-01 11:00:00,0.5197350000000002,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0003800000000000002,0.0015366666666666675,0.21153833333333333,0.2904933333333333
House10,2018-06-01 12:00:00,0.3498933333333334,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0003766666666666668,0.0015783333333333346,0.1763916666666667,0.15561166666666668
House10,2018-06-01 13:00:00,0.4077066666666667,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0004183333333333337,0.0015850000000000007,0.21555666666666665,0.1735483333333333
House10,2018-06-01 14:00:00,0.5365800000000001,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0003500000000000004,0.0015616666666666676,0.28845,0.2301583333333333
House10,2018-06-01 15:00:00,0.4034900000000001,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.00031666666666666703,0.0014833333333333337,0.2041616666666666,0.1818716666666667
House10,2018-06-01 16:00:00,0.42123999999999995,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0004433333333333335,0.0016649999999999974,0.22640500000000002,0.17568499999999998
House10,2018-06-01 17:00:00,0.593615,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0004616666666666669,0.10318166666666652,0.2470400000000001,0.2260733333333333
House10,2018-06-01 18:00:00,0.5094066666666668,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0005216666666666668,0.0016966666666666651,0.23201,0.2582683333333333
House10,2018-06-01 19:00:00,0.4446983333333332,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0005183333333333336,0.0017016666666666658,0.21196500000000001,0.2014016666666668
House10,2018-06-01 20:00:00,0.3871866666666667,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0005083333333333336,0.0016316666666666662,0.19404499999999994,0.17434000000000002
House10,2018-06-01 21:00:00,0.34697666666666666,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0005600000000000001,0.001679999999999999,0.19128833333333325,0.13661833333333334
House10,2018-06-01 22:00:00,0.40559666666666666,8167.52,2,1995,10.0,No,7,4.0,1.0,1.0,1.0,3 phase,4,4,0,0,4,0,3,1,1,7,8,0,3,1,21,1,0.0005700000000000003,0.0016733333333333311,0.22020500000000004,0.1665966666666667
