House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_kW,UPS_kW,Non_UPS_kW
House11,2018-06-01 00:00:00,2.0220266666666658,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.4046333333333336,0.20537499999999995,0.4095500000000001
House11,2018-06-01 01:00:00,2.2597550000000006,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.8708866666666668,0.1770266666666666,0.20849666666666666
House11,2018-06-01 02:00:00,2.419626666666667,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.9213183333333328,0.18971333333333326,0.30573333333333325
House11,2018-06-01 03:00:00,1.724805,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.3872749999999996,0.15335666666666667,0.18109166666666665
House11,2018-06-01 04:00:00,1.6388749999999996,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.2886383333333329,0.15232666666666667,0.19451833333333327
House11,2018-06-01 05:00:00,1.7986349999999998,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.2921683333333338,0.0842416666666667,0.4194433333333333
House11,2018-06-01 06:00:00,1.5757499999999998,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.297278333333333,0.07923999999999999,0.19619
House11,2018-06-01 07:00:00,1.549958333333333,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.3115149999999995,0.08032833333333332,0.15547166666666665
House11,2018-06-01 08:00:00,0.7111950000000001,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,0.5718183333333337,0.09049166666666662,0.04749666666666666
House11,2018-06-01 09:00:00,0.31529499999999994,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,0.006251666666666665,0.111725,0.1948783333333333
House11,2018-06-01 10:00:00,0.396765,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,0.006251666666666661,0.18119333333333326,0.2063483333333333
