House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_LR_kW,AC_BR_kW,UPS_kW
House13,2018-06-01 00:00:00,1.1663683333333337,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.00040500000000000014,0.4621816666666667,0.1908566666666667
House13,2018-06-01 01:00:00,1.068828333333333,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.00038166666666666666,0.4675349999999999,0.12664333333333327
House13,2018-06-01 02:00:00,1.142366666666667,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.0003833333333333333,0.3978816666666667,0.2845033333333334
House13,2018-06-01 03:00:00,1.2220233333333332,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.0004233333333333333,0.3878066666666667,0.17561999999999994
House13,2018-06-01 04:00:00,1.130363333333333,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.0003133333333333333,0.4095733333333333,0.2566833333333333
House13,2018-06-01 05:00:00,1.32371,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.0004200000000000001,0.5834383333333332,0.17365
House13,2018-06-01 06:00:00,1.1377116666666671,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.0004116666666666666,0.5046599999999998,0.13633499999999998
House13,2018-06-01 07:00:00,1.2352566666666671,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.00034833333333333336,0.4648833333333334,0.206035
House13,2018-06-01 08:00:00,0.6829649999999999,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.0003783333333333333,0.3125583333333334,0.04024166666666669
House13,2018-06-01 09:00:00,1.0415849999999998,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.0003616666666666666,0.3694466666666668,0.224875
