House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,BR_kW,Kitchen_kW,AC_GR_kW,AC_MBR_kW,AC_LR_kW
House14,2018-06-01 00:00:00,0.0,24502.5,1,2010,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,2,3,0,5,0,2,1,1,4,5,0,0,1,16,1,0.0,0.0,0.0,0.0,0.0
House14,2018-06-01 01:00:00,0.0,24502.5,1,2010,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,2,3,0,5,0,2,1,1,4,5,0,0,1,16,1,0.0,0.0,0.0,0.0,0.0
House14,2018-06-01 02:00:00,0.0,24502.5,1,2010,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,2,3,0,5,0,2,1,1,4,5,0,0,1,16,1,0.0,0.0,0.0,0.0,0.0
House14,2018-06-01 03:00:00,0.0,24502.5,1,2010,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,2,3,0,5,0,2,1,1,4,5,0,0,1,16,1,0.0,0.0,0.0,0.0,0.0
House14,2018-06-01 04:00:00,0.0,24502.5,1,2010,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,2,3,0,5,0,2,1,1,4,5,0,0,1,16,1,0.0,0.0,0.0,0.0,0.0
House14,2018-06-01 05:00:00,0.0,24502.5,1,2010,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,2,3,0,5,0,2,1,1,4,5,0,0,1,16,1,0.0,0.0,0.0,0.0,0.0
House14,2018-06-01 06:00:00,0.0,24502.5,1,2010,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,2,3,0,5,0,2,1,1,4,5,0,0,1,16,1,0.0,0.0,0.0,0.0,0.0
House14,2018-06-01 07:00:00,0.0,24502.5,1,2010,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,2,3,0,5,0,2,1,1,4,5,0,0,1,16,1,0.0,0.0,0.0,0.0,0.0
House14,2018-06-01 08:00:00,0.0,24502.5,1,2010,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,2,3,0,5,0,2,1,1,4,5,0,0,1,16,1,0.0,0.0,0.0,0.0,0.0
House14,2018-06-01 09:00:00,0.0,24502.5,1,2010,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,2,3,0,5,0,2,1,1,4,5,0,0,1,16,1,0.0,0.0,0.0,0.0,0.0
House14,2018-06-01 10:00:00,0.0,24502.5,1,2010,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,2,3,0,5,0,2,1,1,4,5,0,0,1,16,1,0.0,0.0,0.0,0.0,0.0
House14,2018-06-01 11:00:00,0.0,24502.5,1,2010,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,2,3,0,5,0,2,1,1,4,5,0,0,1,16,1,0.0,0.0,0.0,0.0,0.0
House14,2018-06-01 12:00:00,0.0,24502.5,1,2010,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,2,3,0,5,0,2,1,1,4,5,0,0,1,16,1,0.0,0.0,0.0,0.0,0.0
House14,2018-06-01 13:00:00,0.0,24502.5,1,2010,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,2,3,0,5,0,2,1,1,4,5,0,0,1,16,1,0.0,0.0,0.0,0.0,0.0
House14,2018-06-01 14:00:00,0.0,24502.5,1,2010,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,2,3,0,5,0,2,1,1,4,5,0,0,1,16,1,0.0,0.0,0.0,0.0,0.0
House14,2018-06-01 15:00:00,0.0,24502.5,1,2010,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,2,3,0,5,0,2,1,1,4,5,0,0,1,16,1,0.0,0.0,0.0,0.0,0.0
House14,2018-06-01 16:00:00,0.0,24502.5,1,2010,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,2,3,0,5,0,2,1,1,4,5,0,0,1,16,1,0.0,0.0,0.0,0.0,0.0
House14,2018-06-01 17:00:00,0.0,24502.5,1,2010,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,2,3,0,5,0,2,1,1,4,5,0,0,1,16,1,0.0,0.0,0.0,0.0,0.0
House14,2018-06-01 18:00:00,0.0,24502.5,1,2010,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,2,3,0,5,0,2,1,1,4,5,0,0,1,16,1,0.0,0.0,0.0,0.0,0.0
House14,2018-06-01 19:00:00,0.0,24502.5,1,2010,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,2,3,0,5,0,2,1,1,4,5,0,0,1,16,1,0.0,0.0,0.0,0.0,0.0
House14,2018-06-01 20:00:00,0.0,24502.5,1,2010,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,2,3,0,5,0,2,1,1,4,5,0,0,1,16,1,0.0,0.0,0.0,0.0,0.0
House14,2018-06-01 21:00:00,0.0,24502.5,1,2010,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,2,3,0,5,0,2,1,1,4,5,0,0,1,16,1,0.0,0.0,0.0,0.0,0.0
House14,2018-06-01 22:00:00,0.0,24502.5,1,2010,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,2,3,0,5,0,2,1,1,4,5,0,0,1,16,1,0.0,0.0,0.0,0.0,0.0
House14,2018-06-01 23:00:00,0.0,24502.5,1,2010,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,2,3,0,5,0,2,1,1,4,5,0,0,1,16,1,0.0,0.0,0.0,0.0,0.0
House14,2018-06-02 00:00:00,0.0,24502.5,1,2010,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,2,3,0,5,0,2,1,1,4,5,0,0,1,16,1,0.0,0.0,0.0,0.0,0.0
House14,2018-06-02 01:00:00,0.0,24502.5,1,2010,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,2,3,0,5,0,2,1,1,4,5,0,0,1,16,1,0.0,0.0,0.0,0.0,0.0
House14,2018-06-02 02:00:00,0.0,24502.5,1,2010,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,2,3,0,5,0,2,1,1,4,5,0,0,1,16,1,0.0,0.0,0.0,0.0,0.0
House14,2018-06-02 03:00:00,0.0,24502.5,1,2010,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,2,3,0,5,0,2,1,1,4,5,0,0,1,16,1,0.0,0.0,0.0,0.0,0.0
House14,2018-06-02 04:00:00,0.0,24502.5,1,2010,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,2,3,0,5,0,2,1,1,4,5,0,0,1,16,1,0.0,0.0,0.0,0.0,0.0
House14,2018-06-02 05:00:00,0.0,24502.5,1,2010,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,2,3,0,5,0,2,1,1,4,5,0,0,1,16,1,0.0,0.0,0.0,0.0,0.0
House14,2018-06-02 06:00:00,0.0,24502.5,1,2010,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,2,3,0,5,0,2,1,1,4,5,0,0,1,16,1,0.0,0.0,0.0,0.0,0.0
House14,2018-06-02 07:00:00,0.0,24502.5,1,2010,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,2,3,0,5,0,2,1,1,4,5,0,0,1,16,1,0.0,0.0,0.0,0.0,0.0
House14,2018-06-02 08:00:00,0.0,24502.5,1,2010,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,2,3,0,5,0,2,1,1,4,5,0,0,1,16,1,0.0,0.0,0.0,0.0,0.0
House14,2018-06-02 09:00:00,0.0,24502.5,1,2010,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,2,3,0,5,0,2,1,1,4,5,0,0,1,16,1,0.0,0.0,0.0,0.0,0.0
House14,2018-06-02 10:00:00,0.0,24502.5,1,2010,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,2,3,0,5,0,2,1,1,4,5,0,0,1,16,1,0.0,0.0,0.0,0.0,0.0
House14,2018-06-02 11:00:00,0.0,24502.5,1,2010,12.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,2,3,0,5,0,2,1,1,4,5,0,0,1,16,1,0.0,0.0,0.0,0.0,0.0
