House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_BR_kW,Kitchen_kW,LR_kW,AC_BR_kW.1
House15,2018-06-01 00:00:00,4.936311666666662,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.8381450000000003,0.4196516666666668,0.14843833333333342,0.0014683333333333323
House15,2018-06-01 01:00:00,0.0216,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.0055999999999999965,0.0013,0.0006000000000000003,0.0
House15,2018-06-01 02:00:00,0.021603333333333332,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.0055999999999999965,0.0013,0.0006000000000000003,0.0
House15,2018-06-01 03:00:00,0.021601666666666658,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.0055999999999999965,0.0013,0.0006000000000000003,0.0
House15,2018-06-01 04:00:00,0.9376316666666672,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.26351666666666657,0.11675666666666674,0.02650666666666664,0.0003716666666666667
House15,2018-06-01 05:00:00,2.7343233333333328,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.9307766666666686,0.2577649999999997,0.05224166666666665,0.0005833333333333332
House15,2018-06-01 06:00:00,3.577856666666668,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,1.1930883333333344,0.3337849999999998,0.0686216666666666,0.0008433333333333328
House15,2018-06-01 07:00:00,0.0052,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.0017999999999999989,0.0004000000000000002,0.00010000000000000003,0.0
House15,2018-06-01 08:00:00,0.0052,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.0017999999999999989,0.0004000000000000002,0.00010000000000000003,0.0
House15,2018-06-01 09:00:00,1.1457383333333333,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.0017666666666666664,0.3072433333333334,0.06526,0.0005433333333333331
