House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,Laundary_kW,Kitchen_kW,AC_BR_kW,AC_GR_kW,AC_SR_kW,Refrigerator_kW,Kitchen2_kW,AC_BR_kW.1,AC_MBR_kW
House16,2018-06-01 00:00:00,3.644281666666666,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.2627783333333333,0.002731666666666665,0.8983100000000002,0.5057483333333332,0.0004216666666666665,0.09197999999999999,0.0006250000000000003,0.001173333333333334,0.005423333333333332
House16,2018-06-01 01:00:00,2.3339483333333333,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.217015,0.001851666666666664,0.5631149999999999,0.015303333333333325,0.0008766666666666677,0.10243166666666667,0.000625,0.001235000000000001,0.00560333333333333
House16,2018-06-01 02:00:00,2.9183116666666664,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.4344916666666668,0.1334433333333333,0.6101083333333333,0.04999666666666668,0.0006366666666666668,0.07968833333333332,0.317295,0.0015416666666666669,0.005511666666666666
House16,2018-06-01 03:00:00,3.046133333333332,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.3486166666666668,0.05906166666666664,0.5428116666666668,0.1319066666666667,0.0006333333333333331,0.08322166666666668,0.6164600000000007,0.0019149999999999987,0.005579999999999999
House16,2018-06-01 04:00:00,2.0586366666666662,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.26606666666666673,0.0020783333333333326,0.5535033333333332,0.0906816666666667,0.0006249999999999996,0.0753033333333333,0.0004583333333333335,0.001401666666666666,0.005250000000000006
House16,2018-06-01 05:00:00,1.354401666666667,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.23414000000000001,0.0014600000000000006,0.4762966666666666,0.011200000000000005,0.0006599999999999997,0.05062999999999999,0.0003950000000000004,0.001216666666666667,0.0048350000000000025
House16,2018-06-01 06:00:00,1.5580316666666665,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.2254366666666667,0.0018616666666666656,0.5698583333333332,0.011811666666666665,0.0006866666666666664,0.056196666666666666,0.000476666666666667,0.00128,0.005196666666666667
House16,2018-06-01 07:00:00,1.7038433333333338,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.43401500000000015,0.07601666666666665,0.5355883333333332,0.012228333333333336,0.000595,0.07145,0.0004666666666666667,0.0012050000000000001,0.0050916666666666645
House16,2018-06-01 08:00:00,0.9019366666666664,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.6584200000000002,0.07249833333333333,0.023751666666666654,0.014018333333333329,0.0006566666666666665,0.05633,0.0005000000000000002,0.0012716666666666668,0.0051299999999999965
House16,2018-06-01 09:00:00,1.3650983333333326,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.6160700000000001,0.03478833333333333,0.004958333333333331,0.3898666666666667,0.0005549999999999999,0.036081666666666665,0.0004649999999999999,0.26517166666666664,0.003896666666666668
