House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_BR_kW,AC_LR_kW,AC_DR_kW
House17,2018-06-01 00:00:00,1.8271416666666669,2450.25,2,2011,10.0,No,4,1.0,1.0,1.0,1.0,3 phase,6,6,0,0,5,1,6,1,1,9,8,1,2,1,36,1,1.535143333333333,0.13226166666666664,0.0026633333333333327
House17,2018-06-01 01:00:00,1.4767666666666668,2450.25,2,2011,10.0,No,4,1.0,1.0,1.0,1.0,3 phase,6,6,0,0,5,1,6,1,1,9,8,1,2,1,36,1,1.26839,0.0020566666666666667,0.0026199999999999995
House17,2018-06-01 02:00:00,1.02296,2450.25,2,2011,10.0,No,4,1.0,1.0,1.0,1.0,3 phase,6,6,0,0,5,1,6,1,1,9,8,1,2,1,36,1,0.6467216666666666,0.0028083333333333337,0.003218333333333333
House17,2018-06-01 03:00:00,1.4486199999999996,2450.25,2,2011,10.0,No,4,1.0,1.0,1.0,1.0,3 phase,6,6,0,0,5,1,6,1,1,9,8,1,2,1,36,1,1.272771666666667,0.017728333333333325,0.0034916666666666672
House17,2018-06-01 04:00:00,1.5006633333333337,2450.25,2,2011,10.0,No,4,1.0,1.0,1.0,1.0,3 phase,6,6,0,0,5,1,6,1,1,9,8,1,2,1,36,1,1.1304249999999998,0.0018133333333333328,0.002691666666666668
House17,2018-06-01 05:00:00,1.328943333333333,2450.25,2,2011,10.0,No,4,1.0,1.0,1.0,1.0,3 phase,6,6,0,0,5,1,6,1,1,9,8,1,2,1,36,1,1.0675916666666665,0.0021366666666666665,0.0027800000000000017
House17,2018-06-01 06:00:00,1.2185666666666672,2450.25,2,2011,10.0,No,4,1.0,1.0,1.0,1.0,3 phase,6,6,0,0,5,1,6,1,1,9,8,1,2,1,36,1,0.952865,0.001938333333333334,0.0027050000000000012
House17,2018-06-01 07:00:00,0.347795,2450.25,2,2011,10.0,No,4,1.0,1.0,1.0,1.0,3 phase,6,6,0,0,5,1,6,1,1,9,8,1,2,1,36,1,0.0033466666666666658,0.008775,0.0023166666666666657
House17,2018-06-01 08:00:00,0.30189833333333344,2450.25,2,2011,10.0,No,4,1.0,1.0,1.0,1.0,3 phase,6,6,0,0,5,1,6,1,1,9,8,1,2,1,36,1,0.0034899999999999987,0.032713333333333316,0.0031750000000000003
House17,2018-06-01 09:00:00,0.22472166666666668,2450.25,2,2011,10.0,No,4,1.0,1.0,1.0,1.0,3 phase,6,6,0,0,5,1,6,1,1,9,8,1,2,1,36,1,0.00351833333333333,0.03257499999999998,0.003141666666666665
