House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_kW
House18,2018-06-01 00:00:00,1.4040499999999994,680.6260000000001,3,2005,15.0,No,5,2.0,1.0,1.0,1.0,1 phase,7,5,2,0,7,0,2,1,1,4,8,1,1,2,24,1,0.00012166666666666668
House18,2018-06-01 01:00:00,1.38285,680.6260000000001,3,2005,15.0,No,5,2.0,1.0,1.0,1.0,1 phase,7,5,2,0,7,0,2,1,1,4,8,1,1,2,24,1,0.00012166666666666665
House18,2018-06-01 02:00:00,0.8153366666666669,680.6260000000001,3,2005,15.0,No,5,2.0,1.0,1.0,1.0,1 phase,7,5,2,0,7,0,2,1,1,4,8,1,1,2,24,1,8.999999999999998e-05
House18,2018-06-01 03:00:00,0.9737750000000004,680.6260000000001,3,2005,15.0,No,5,2.0,1.0,1.0,1.0,1 phase,7,5,2,0,7,0,2,1,1,4,8,1,1,2,24,1,0.00034666666666666667
House18,2018-06-01 04:00:00,1.3177183333333329,680.6260000000001,3,2005,15.0,No,5,2.0,1.0,1.0,1.0,1 phase,7,5,2,0,7,0,2,1,1,4,8,1,1,2,24,1,0.00013166666666666676
House18,2018-06-01 05:00:00,1.2898599999999996,680.6260000000001,3,2005,15.0,No,5,2.0,1.0,1.0,1.0,1 phase,7,5,2,0,7,0,2,1,1,4,8,1,1,2,24,1,0.00012166666666666668
House18,2018-06-01 06:00:00,1.2562666666666664,680.6260000000001,3,2005,15.0,No,5,2.0,1.0,1.0,1.0,1 phase,7,5,2,0,7,0,2,1,1,4,8,1,1,2,24,1,0.00011333333333333336
House18,2018-06-01 07:00:00,1.2771366666666666,680.6260000000001,3,2005,15.0,No,5,2.0,1.0,1.0,1.0,1 phase,7,5,2,0,7,0,2,1,1,4,8,1,1,2,24,1,0.00011833333333333327
House18,2018-06-01 08:00:00,0.8619883333333335,680.6260000000001,3,2005,15.0,No,5,2.0,1.0,1.0,1.0,1 phase,7,5,2,0,7,0,2,1,1,4,8,1,1,2,24,1,0.00016166666666666646
House18,2018-06-01 09:00:00,0.9604766666666664,680.6260000000001,3,2005,15.0,No,5,2.0,1.0,1.0,1.0,1 phase,7,5,2,0,7,0,2,1,1,4,8,1,1,2,24,1,0.00012999999999999996
House18,2018-06-01 10:00:00,1.5580716666666667,680.6260000000001,3,2005,15.0,No,5,2.0,1.0,1.0,1.0,1 phase,7,5,2,0,7,0,2,1,1,4,8,1,1,2,24,1,6.333333333333329e-05
House18,2018-06-01 11:00:00,1.7286633333333334,680.6260000000001,3,2005,15.0,No,5,2.0,1.0,1.0,1.0,1 phase,7,5,2,0,7,0,2,1,1,4,8,1,1,2,24,1,0.00010333333333333336
House18,2018-06-01 12:00:00,1.0229583333333334,680.6260000000001,3,2005,15.0,No,5,2.0,1.0,1.0,1.0,1 phase,7,5,2,0,7,0,2,1,1,4,8,1,1,2,24,1,4.833333333333331e-05
House18,2018-06-01 13:00:00,0.363525,680.6260000000001,3,2005,15.0,No,5,2.0,1.0,1.0,1.0,1 phase,7,5,2,0,7,0,2,1,1,4,8,1,1,2,24,1,0.00020499999999999991
