House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_BR_kW,AC_DR_kW,Kitchen_kW,UPS_kW
House19,2018-06-01 00:00:00,4.081408333333334,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0002683333333333333,0.0010616666666666667,0.4144699999999999,0.2251983333333333
House19,2018-06-01 01:00:00,4.270018333333332,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0003133333333333333,0.0014066666666666667,0.387905,0.2738500000000001
House19,2018-06-01 02:00:00,5.8321549999999975,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,1.142653333333334,0.7857266666666667,0.4571049999999998,0.2731666666666666
House19,2018-06-01 03:00:00,3.7327316666666657,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0004049999999999999,0.14762166666666654,0.3855016666666666,0.2406283333333333
House19,2018-06-01 04:00:00,3.7275350000000014,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.00045,0.0008516666666666668,0.24569499999999997,0.12309499999999995
House19,2018-06-01 05:00:00,3.708591666666666,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0004933333333333334,0.0008150000000000001,0.21648666666666666,0.12505666666666665
House19,2018-06-01 06:00:00,3.4669250000000003,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0004783333333333334,0.0008199999999999999,0.173505,0.12257333333333335
House19,2018-06-01 07:00:00,3.5958316666666668,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.00023500000000000002,0.0009116666666666666,0.177235,0.11503333333333332
House19,2018-06-01 08:00:00,3.820576666666665,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.00016333333333333334,0.0009549999999999998,0.18173666666666666,0.11653833333333333
House19,2018-06-01 09:00:00,3.8675550000000003,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.00021333333333333333,0.0012283333333333337,0.18530999999999992,0.17498333333333335
House19,2018-06-01 10:00:00,2.147393333333333,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0003099999999999998,0.14256666666666667,0.199615,0.3433516666666667
House19,2018-06-01 11:00:00,2.608068333333334,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.00010333333333333334,1.6894300000000009,0.29316833333333325,0.2597666666666666
House19,2018-06-01 12:00:00,0.7900033333333333,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,7.999999999999999e-05,0.0002433333333333332,0.2136483333333335,0.14654333333333325
House19,2018-06-01 13:00:00,3.252326666666668,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.00014833333333333335,2.1753016666666682,0.3755383333333332,0.3790449999999999
House19,2018-06-01 14:00:00,5.149510000000001,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0004833333333333336,1.0471533333333334,0.35600833333333337,0.3973900000000001
House19,2018-06-01 15:00:00,5.3634216666666665,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,1.927668333333333,0.14818999999999974,0.4160716666666666,0.21134166666666665
House19,2018-06-01 16:00:00,3.41386,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,1.4519550000000003,8.499999999999999e-05,0.3096016666666667,0.18937
House19,2018-06-01 17:00:00,4.879904999999999,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,2.0839733333333332,0.00013000000000000004,0.3062583333333333,0.16227500000000006
House19,2018-06-01 18:00:00,1.3582999999999996,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.007485000000000005,0.3307066666666667,0.5491833333333332,0.13660333333333338
