House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_LR_kW,AC_DR_kW,AC_BR_kW,Kitchen_kW,UPS_kW
House2,2018-06-01 00:00:00,0.8054650000000002,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-01 01:00:00,0.8136350000000002,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-01 02:00:00,0.7760483333333332,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-01 03:00:00,0.6125166666666665,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-01 04:00:00,0.5945883333333334,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-01 05:00:00,0.5777049999999999,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-01 06:00:00,0.7818283333333331,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-01 07:00:00,0.20750166666666656,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-01 08:00:00,0.1508933333333333,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-01 09:00:00,0.04896833333333335,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-01 10:00:00,0.6393766666666666,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-01 11:00:00,0.6772650000000001,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-01 12:00:00,1.06914,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-01 13:00:00,1.9480016666666664,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-01 14:00:00,1.4325116666666662,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-01 15:00:00,1.5326966666666668,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-01 16:00:00,1.5457716666666663,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-01 17:00:00,1.4375050000000007,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-01 18:00:00,1.3470816666666672,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-01 19:00:00,1.2751100000000002,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-01 20:00:00,1.3007716666666664,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-01 21:00:00,1.34583,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-01 22:00:00,0.9377916666666658,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-01 23:00:00,0.8528066666666668,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-02 00:00:00,0.6182916666666667,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-02 01:00:00,0.8369933333333334,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-02 02:00:00,1.08799,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-02 03:00:00,0.8779016666666667,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-02 04:00:00,0.7495666666666665,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-02 05:00:00,1.1530700000000005,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-02 06:00:00,0.157735,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-02 07:00:00,0.7290300000000001,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-02 08:00:00,0.52588,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-02 09:00:00,2.002048333333333,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-02 10:00:00,1.0288683333333335,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-02 11:00:00,0.5650400000000002,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-02 12:00:00,0.5858183333333332,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-02 13:00:00,0.8971983333333333,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-02 14:00:00,1.6968283333333327,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-02 15:00:00,1.551983333333333,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-02 16:00:00,1.4556916666666664,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-02 17:00:00,1.417485,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-02 18:00:00,1.167335,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-02 19:00:00,0.997835,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-02 20:00:00,0.6445700000000002,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-02 21:00:00,0.1882583333333334,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-02 22:00:00,0.19285,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-02 23:00:00,0.7110866666666668,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-03 00:00:00,0.73817,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-03 01:00:00,0.5556916666666666,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-03 02:00:00,0.30185166666666674,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-03 03:00:00,0.6744850000000001,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-03 04:00:00,0.8070049999999998,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-03 05:00:00,0.7379183333333331,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-03 06:00:00,0.7662716666666666,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-03 07:00:00,1.5957400000000004,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-03 08:00:00,1.9567583333333336,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-03 09:00:00,1.839411666666667,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-03 10:00:00,0.8162166666666667,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-03 11:00:00,0.6861333333333336,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-03 12:00:00,0.2827433333333333,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-03 13:00:00,0.6085949999999999,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-03 14:00:00,1.2545583333333328,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-03 15:00:00,1.5912883333333334,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-03 16:00:00,1.0896216666666665,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-03 17:00:00,1.212771666666666,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-03 18:00:00,1.0390933333333334,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-03 19:00:00,1.1521900000000005,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-03 20:00:00,1.0371700000000004,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-03 21:00:00,0.642005,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-03 22:00:00,0.5892833333333333,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
