House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,WP_kW,Kitchen_kW,AC_BR_kW
House21,2018-06-01 00:00:00,0.8155016666666667,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.0036450000000000002,0.23374666666666674,0.000943333333333333
House21,2018-06-01 01:00:00,1.39944,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.0036149999999999993,0.226485,0.0014616666666666652
House21,2018-06-01 02:00:00,2.590171666666668,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.0036066666666666673,0.2488533333333333,0.0014016666666666667
House21,2018-06-01 03:00:00,2.4020700000000006,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.0036066666666666656,0.2581783333333333,0.001263333333333333
House21,2018-06-01 04:00:00,2.363645,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.0005733333333333336,0.234785,0.0014016666666666665
House21,2018-06-01 05:00:00,1.3370466666666665,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.0001333333333333333,0.216675,0.0013033333333333332
House21,2018-06-01 06:00:00,1.4000149999999998,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.00014166666666666665,0.2064983333333333,0.0013999999999999998
House21,2018-06-01 07:00:00,2.186338333333333,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.00010166666666666672,0.22484166666666652,0.0013966666666666654
House21,2018-06-01 08:00:00,1.911145,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,5.333333333333332e-05,0.2319366666666668,0.0011933333333333336
House21,2018-06-01 09:00:00,0.7808399999999996,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.08738833333333335,0.22280166666666668,0.0007200000000000004
House21,2018-06-01 10:00:00,0.9656299999999999,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.005229999999999993,0.23487999999999995,0.001246666666666667
House21,2018-06-01 11:00:00,1.989853333333333,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,5.166666666666664e-05,0.2375283333333333,0.001556666666666666
House21,2018-06-01 12:00:00,0.9264416666666668,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.03891666666666668,0.25719833333333336,0.0014033333333333337
House21,2018-06-01 13:00:00,0.7698249999999996,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.058703333333333364,0.2387683333333333,0.0015750000000000002
House21,2018-06-01 14:00:00,0.8419033333333333,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.00024666666666666657,0.2332833333333333,0.001083333333333334
House21,2018-06-01 15:00:00,0.9319816666666664,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.00013333333333333334,0.2100783333333334,0.001245
House21,2018-06-01 16:00:00,0.9283683333333336,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.021808333333333332,0.2324366666666666,0.00145
