House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_kW,AC_kW.1,Kitchen_kW
House3,2018-06-01 00:00:00,3.561541666666668,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,1.0684,0.438195,0.773895
House3,2018-06-01 01:00:00,3.264265,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,0.9713483333333336,0.5264866666666665,0.4397099999999999
House3,2018-06-01 02:00:00,3.2031883333333337,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,0.9289933333333332,0.5395933333333335,0.4875483333333335
House3,2018-06-01 03:00:00,3.0349266666666663,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,0.9163883333333332,0.4979133333333335,0.4850016666666667
House3,2018-06-01 04:00:00,3.1950550000000013,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,0.8752166666666669,0.4560533333333333,0.4066566666666668
House3,2018-06-01 05:00:00,3.44296,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,0.8646699999999997,0.44985500000000017,0.5388999999999999
House3,2018-06-01 06:00:00,2.978801666666666,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,0.8617266666666665,0.449165,0.4006266666666667
House3,2018-06-01 07:00:00,2.7317850000000004,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,0.9386683333333342,0.4289933333333332,0.3805866666666666
House3,2018-06-01 08:00:00,4.000511666666666,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,0.9721833333333336,0.4481883333333335,0.5411883333333333
House3,2018-06-01 09:00:00,4.955476666666667,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,1.0144983333333333,0.4489733333333334,0.3354116666666668
House3,2018-06-01 10:00:00,1.9894383333333348,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,0.7870483333333336,0.18959999999999988,0.17851833333333333
House3,2018-06-01 11:00:00,4.235745,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,1.4105800000000002,0.020208333333333325,0.2515883333333335
House3,2018-06-01 12:00:00,4.507533333333333,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,1.501813333333334,0.011815,0.34872999999999993
House3,2018-06-01 13:00:00,6.597011666666669,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,1.8007699999999998,0.017554999999999994,0.7167333333333332
House3,2018-06-01 14:00:00,6.545045000000001,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,1.5094566666666664,0.039725,1.4095700000000002
House3,2018-06-01 15:00:00,4.915676666666668,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,1.5444783333333332,0.023901666666666675,1.074436666666667
House3,2018-06-01 16:00:00,5.179350000000001,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,1.4018366666666668,0.4401316666666665,1.0094216666666669
House3,2018-06-01 17:00:00,6.8418183333333324,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,1.1193366666666662,0.4187849999999999,1.4762616666666668
House3,2018-06-01 18:00:00,7.522848333333332,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,1.154951666666667,0.4408666666666666,1.4984133333333332
House3,2018-06-01 19:00:00,7.449013333333334,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,1.0458000000000005,0.4495083333333333,1.506646666666667
House3,2018-06-01 20:00:00,7.502621666666667,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,1.0601716666666667,0.4335050000000001,1.4711583333333331
