House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_LR_kW,AC_DR_kW,AC_BR_kW,UPS_kW,WD_kW,Refrigerator_kW
House31,2018-06-01 00:00:00,3.6342250000000007,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0011700000000000007,0.6003466666666666,0.7150266666666667,0.33326166666666673,0.07246500000000003,0.20457666666666666
House31,2018-06-01 01:00:00,4.204388333333333,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0022199999999999998,0.5575016666666666,0.12029,0.2968416666666667,0.07683166666666666,0.28598
House31,2018-06-01 02:00:00,3.370053333333334,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.002883333333333333,0.4858916666666666,0.6274549999999999,0.2436683333333333,0.09141666666666667,0.2301083333333333
House31,2018-06-01 03:00:00,2.9773250000000013,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.002628333333333334,0.5529466666666667,0.3048166666666666,0.2721583333333333,0.1262233333333333,0.23693666666666666
House31,2018-06-01 04:00:00,2.7853899999999987,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0025133333333333327,0.49693000000000004,0.4561216666666667,0.2513999999999999,0.11257333333333336,0.16949499999999998
House31,2018-06-01 05:00:00,2.3653499999999994,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.002305,0.4281933333333335,0.4475366666666669,0.17967166666666662,0.019313333333333325,0.13175666666666666
House31,2018-06-01 06:00:00,2.314146666666667,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0022316666666666674,0.4325633333333333,0.4262916666666668,0.17521666666666666,0.08783666666666666,0.12516666666666665
House31,2018-06-01 07:00:00,2.708365000000001,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0022499999999999994,0.4496250000000001,0.4757616666666666,0.15680333333333332,0.08905500000000001,0.13855166666666668
House31,2018-06-01 08:00:00,2.9136666666666664,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0023333333333333327,0.4682700000000001,0.4964583333333335,0.1522866666666667,0.019145,0.15247500000000005
House31,2018-06-01 09:00:00,3.1042233333333344,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.00241,0.4853333333333333,0.5796916666666666,0.16070833333333334,0.10534333333333327,0.13544333333333336
