House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_Reg_kW,AC_MB_kW,AC_BR_kW,WP_kW,AC_kW
House32,2018-06-01 00:00:00,1.3112133333333336,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.09365500000000004,0.5892300000000003,0.013833333333333336,0.03938333333333331,0.0
House32,2018-06-01 01:00:00,1.2831916666666665,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.114375,0.5838733333333335,0.013280000000000005,0.041125,0.0
House32,2018-06-01 02:00:00,1.322511666666667,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.13746666666666654,0.5810099999999999,0.01331833333333333,0.03961000000000001,0.0
House32,2018-06-01 03:00:00,2.306181666666667,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.15585499999999994,0.5760383333333334,0.8021166666666666,0.03808666666666668,0.0
House32,2018-06-01 04:00:00,2.4322500000000007,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.039886666666666695,0.5728816666666667,1.059665,0.028521666666666664,0.0
House32,2018-06-01 05:00:00,2.39695,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.17543333333333327,0.5727733333333332,1.0230983333333332,0.24883833333333336,0.0
House32,2018-06-01 06:00:00,1.9898616666666675,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.3093816666666667,0.6056916666666669,0.5729616666666665,0.3272916666666668,0.0
House32,2018-06-01 07:00:00,2.123671666666667,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.03490833333333331,0.5548066666666667,0.8490816666666664,0.42205833333333337,0.0
House32,2018-06-01 08:00:00,1.9541583333333328,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.1380883333333333,0.6398149999999999,0.8396000000000001,0.08224499999999997,0.0
House32,2018-06-01 09:00:00,1.8072483333333336,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.06785333333333339,0.5951066666666666,0.8527133333333335,0.04136833333333334,0.0
House32,2018-06-01 10:00:00,1.959906666666667,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.15547833333333336,0.6148483333333334,0.8857233333333334,0.03894166666666666,0.0
House32,2018-06-01 11:00:00,2.6620516666666667,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.17475333333333345,0.7524316666666667,0.9096249999999996,0.032543333333333334,0.0
House32,2018-06-01 12:00:00,3.27086,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.1705933333333333,0.6717200000000002,0.9420516666666666,0.037545000000000016,0.0
House32,2018-06-01 13:00:00,2.506035,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.08655333333333336,0.7277949999999999,0.926665,0.041603333333333326,0.0
House32,2018-06-01 14:00:00,2.2856533333333338,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.08739500000000001,0.9943066666666668,0.9013333333333334,0.03628166666666667,0.0
House32,2018-06-01 15:00:00,2.1914233333333337,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.18132166666666652,0.8177800000000001,0.9001133333333334,0.025083333333333332,0.0
House32,2018-06-01 16:00:00,1.250986666666666,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.19095166666666674,0.5269466666666668,0.31709833333333337,0.047295,0.0
House32,2018-06-01 17:00:00,1.92475,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.19336666666666666,0.9511016666666666,0.020223333333333333,0.19998833333333327,0.0
House32,2018-06-01 18:00:00,4.901471666666665,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.201755,1.5227516666666665,0.9349550000000002,0.5941399999999999,0.0
House32,2018-06-01 19:00:00,2.677653333333333,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.2107733333333333,0.5678766666666667,0.05839333333333337,0.2826800000000001,0.0
House32,2018-06-01 20:00:00,2.1095116666666667,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.20408166666666666,0.5858899999999998,0.09680999999999998,0.04005999999999999,0.0
House32,2018-06-01 21:00:00,1.8391216666666668,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.20181166666666664,0.5505033333333332,0.008526666666666663,0.04042833333333333,0.0
House32,2018-06-01 22:00:00,1.5633750000000004,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.20071333333333333,0.5500733333333333,0.00933166666666667,0.03292833333333334,0.0
House32,2018-06-01 23:00:00,1.5530899999999996,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.19754666666666665,0.5511199999999998,0.009728333333333332,0.033795000000000006,0.0
House32,2018-06-02 00:00:00,1.4071416666666663,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.1978866666666667,0.5535366666666666,0.009419999999999994,0.048926666666666674,0.0
House32,2018-06-02 01:00:00,1.6746149999999995,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.20056500000000002,0.5554149999999999,0.23906,0.044785000000000005,0.0
House32,2018-06-02 02:00:00,2.460873333333333,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.13953000000000007,0.6051200000000001,0.8677266666666665,0.052085,0.0
House32,2018-06-02 03:00:00,2.186125,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.1400233333333333,0.5257266666666668,0.74584,0.04229666666666667,0.0
House32,2018-06-02 04:00:00,1.9741383333333324,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.20301833333333336,0.5217116666666666,0.6002133333333332,0.03819833333333333,0.0
House32,2018-06-02 05:00:00,1.3843233333333338,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.1137566666666666,0.523265,0.5417166666666665,0.031248333333333333,0.0
House32,2018-06-02 06:00:00,1.749766666666667,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.4865483333333334,0.5163300000000002,0.5325516666666666,0.041994999999999984,0.0
House32,2018-06-02 07:00:00,2.245471666666667,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.5756683333333331,0.524895,0.5200433333333334,0.4484033333333332,0.0
House32,2018-06-02 08:00:00,1.3898333333333333,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.10028999999999996,0.5327416666666667,0.54393,0.030391666666666657,0.0
House32,2018-06-02 09:00:00,1.2663016666666669,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.13212833333333332,0.3465083333333333,0.5634650000000001,0.04351,0.0
House32,2018-06-02 10:00:00,1.4944133333333336,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.17348999999999998,0.5604699999999999,0.58194,0.028996666666666664,0.0
House32,2018-06-02 11:00:00,1.6045183333333335,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.17051166666666667,0.6454449999999999,0.6218516666666665,0.034795000000000006,0.0
House32,2018-06-02 12:00:00,1.9338533333333328,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.165445,0.5860649999999998,0.6440516666666666,0.3932233333333333,0.0
House32,2018-06-02 13:00:00,1.7432049999999994,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.17237166666666662,0.5165249999999999,0.07247499999999994,0.3492399999999999,0.0
House32,2018-06-02 14:00:00,3.1233733333333324,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.172715,0.9228833333333336,0.4708466666666666,0.03674333333333333,0.0
House32,2018-06-02 15:00:00,1.6075016666666666,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.202715,0.6468733333333334,0.36007166666666673,0.043418333333333316,0.0
House32,2018-06-02 16:00:00,1.4027950000000002,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.1815266666666666,0.5877533333333335,0.4241666666666667,0.04951666666666667,0.0
House32,2018-06-02 17:00:00,1.8996666666666664,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.1720933333333334,0.7832516666666667,0.4161983333333336,0.4210983333333334,0.0
House32,2018-06-02 18:00:00,1.8248400000000002,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.11300333333333334,0.6463333333333333,0.006388333333333333,0.588695,0.0
House32,2018-06-02 19:00:00,2.4062766666666664,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.20915333333333336,0.6959566666666669,0.011878333333333326,0.05391333333333334,0.0
