House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_BR_kW,AC_DNR_kW,Kitchen_kW
House33,2018-06-01 00:00:00,1.2951116666666662,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.05613166666666669,0.024006666666666662,0.14063666666666666
House33,2018-06-01 01:00:00,0.9820100000000002,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.040041666666666635,0.017380000000000013,0.026913333333333338
House33,2018-06-01 02:00:00,2.2463366666666658,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.13409666666666664,0.011033333333333327,0.29104
House33,2018-06-01 03:00:00,1.5811916666666668,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.08391833333333333,0.014093333333333319,0.18483166666666667
House33,2018-06-01 04:00:00,0.9604,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.04455000000000005,0.014405000000000003,0.17391166666666666
House33,2018-06-01 05:00:00,1.0298766666666668,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.04777833333333337,0.01530166666666666,0.1689516666666667
House33,2018-06-01 06:00:00,0.9786833333333336,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.04552999999999999,0.014231666666666656,0.16001166666666666
House33,2018-06-01 07:00:00,1.3429216666666666,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.0612933333333333,0.022688333333333352,0.14694833333333335
House33,2018-06-01 08:00:00,1.5057883333333335,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.05008166666666667,0.028325,0.10277666666666667
House33,2018-06-01 09:00:00,1.2647549999999999,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.051258333333333336,0.019448333333333317,0.18438833333333327
House33,2018-06-01 10:00:00,0.8419166666666665,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.03835833333333335,0.002085,0.18561333333333327
House33,2018-06-01 11:00:00,0.8146466666666672,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.034645000000000016,0.004695,0.15076833333333334
House33,2018-06-01 12:00:00,0.5590383333333334,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.01735999999999999,0.19000333333333325,0.1257333333333335
House33,2018-06-01 13:00:00,0.5640350000000001,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.02843166666666668,0.002826666666666666,0.19996833333333336
House33,2018-06-01 14:00:00,0.5713716666666665,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.029401666666666656,0.0015483333333333345,0.1997300000000001
House33,2018-06-01 15:00:00,0.6589333333333333,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.03378833333333334,0.0009066666666666664,0.1946716666666666
House33,2018-06-01 16:00:00,0.95981,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.05319500000000002,0.0014783333333333337,0.19177666666666668
House33,2018-06-01 17:00:00,1.9597266666666664,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.1253216666666667,0.003511666666666669,0.18396000000000004
House33,2018-06-01 18:00:00,1.7716316666666665,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.11422500000000002,0.0021833333333333327,0.2329533333333333
