House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,WP_kW,Kitchen_kW,AC_kW,AC_kW.1
House37,2018-06-01 00:00:00,2.024460000000001,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.002028333333333335,1.688425,0.21979,0.08445833333333333
House37,2018-06-01 01:00:00,2.0227416666666658,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.002188333333333332,1.6814250000000002,0.2222966666666667,0.08664499999999999
House37,2018-06-01 02:00:00,2.2598200000000004,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.002256666666666668,1.6778883333333332,0.2257083333333333,0.20397666666666664
House37,2018-06-01 03:00:00,2.0192233333333327,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.002316666666666666,1.565575,0.23114,0.22019166666666665
House37,2018-06-01 04:00:00,0.7914533333333325,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.000898333333333333,0.6279400000000008,0.08225333333333311,0.08036166666666686
House37,2018-06-01 05:00:00,1.180065,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.0013183333333333324,0.8859100000000002,0.13726333333333338,0.1396533333333333
House37,2018-06-01 06:00:00,1.6781616666666683,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.002091666666666667,1.2986399999999998,0.18939333333333327,0.18689833333333333
House37,2018-06-01 07:00:00,1.2149100000000024,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.0013249999999999994,0.9545949999999992,0.12824666666666673,0.1307433333333332
House37,2018-06-01 08:00:00,1.5151116666666666,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.001458333333333333,1.1430999999999996,0.1569983333333333,0.08225333333333336
House37,2018-06-01 09:00:00,1.3345716666666674,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.0023783333333333343,0.5506533333333334,0.23200166666666666,0.04963333333333332
