House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_BR_kW,UPS_kW,WD_kW,Refrigerator_kW,AC_BR_kW.1
House38,2018-06-01 00:00:00,2.5818416666666666,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.0020316666666666664,0.0002533333333333332,0.04951499999999999,0.11575666666666673,1.5965699999999998
House38,2018-06-01 01:00:00,1.56916,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.003014999999999999,0.0003016666666666666,0.05626499999999997,0.16692500000000005,0.3244300000000005
House38,2018-06-01 02:00:00,1.3530350000000009,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.0030766666666666664,0.0004499999999999999,0.09112999999999996,0.15782500000000002,0.0023349999999999994
House38,2018-06-01 03:00:00,1.4097783333333331,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.07393000000000001,0.0006150000000000003,0.07070500000000003,0.1482066666666667,0.0023616666666666656
House38,2018-06-01 04:00:00,4.051403333333331,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,1.7235433333333328,0.0006633333333333335,0.045013333333333336,0.10840499999999996,1.4520400000000002
House38,2018-06-01 05:00:00,3.7558333333333342,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,1.6045999999999994,0.0003233333333333334,0.04672833333333334,0.09964166666666673,1.5679716666666668
House38,2018-06-01 06:00:00,3.838915,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,1.6830083333333334,0.0003116666666666667,0.04492333333333335,0.10422999999999998,1.548616666666666
House38,2018-06-01 07:00:00,3.7310916666666665,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,1.67291,0.0003533333333333335,0.03415000000000002,0.09804833333333336,1.5166333333333328
House38,2018-06-01 08:00:00,3.7580683333333336,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,1.7104549999999996,0.0003616666666666669,0.04354833333333332,0.11185333333333336,1.5450716666666666
House38,2018-06-01 09:00:00,3.7423999999999986,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,1.775008333333333,0.00036000000000000013,0.03583999999999997,0.08748833333333329,1.5926816666666668
House38,2018-06-01 10:00:00,3.908346666666665,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,1.8466150000000001,0.0003833333333333336,0.04627833333333334,0.10994166666666667,1.6482266666666665
House38,2018-06-01 11:00:00,3.1809849999999997,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,1.039838333333333,0.00026333333333333314,0.04436333333333335,0.1533483333333333,1.6796966666666668
House38,2018-06-01 12:00:00,1.3097616666666665,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.003046666666666667,5.1666666666666664e-05,0.041353333333333325,0.1901883333333333,0.8184666666666658
House38,2018-06-01 13:00:00,0.7613833333333334,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.004921666666666667,0.0009416666666666664,0.05329166666666666,0.12059,0.00233
House38,2018-06-01 14:00:00,0.8963199999999999,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.0047449999999999975,0.00040166666666666633,0.05516000000000002,0.11202166666666666,0.0028666666666666684
House38,2018-06-01 15:00:00,0.8322816666666664,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.005230000000000003,0.00019666666666666666,0.04151499999999999,0.08626833333333338,0.003319999999999998
House38,2018-06-01 16:00:00,0.7208216666666664,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.005463333333333336,0.00010666666666666672,0.04023833333333333,0.12981333333333334,0.0035883333333333327
House38,2018-06-01 17:00:00,1.0147299999999997,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.0055366666666666715,0.0001133333333333334,0.07901166666666666,0.12723000000000004,0.18480333333333326
House38,2018-06-01 18:00:00,3.4368449999999986,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.0038583333333333343,0.0007833333333333335,0.3909233333333333,0.16602,1.7459183333333332
House38,2018-06-01 19:00:00,2.7409633333333328,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.003055,0.0008950000000000002,0.0996,0.1655383333333334,1.6703800000000009
