House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_DR_kW,Kitchen_kW,AC_BR_kW,AC_LR_kW,AC_MBR_kW
House4,2018-06-01 00:00:00,3.723728333333333,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0014483333333333336,0.4051350000000001,0.7403016666666667,0.009183333333333337,0.8530683333333335
House4,2018-06-01 01:00:00,3.776299999999999,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0015983333333333342,0.41793500000000006,0.734105,0.008996666666666672,0.8487483333333333
House4,2018-06-01 02:00:00,3.4340999999999986,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.001559999999999999,0.412315,0.7224966666666667,0.008821666666666662,0.7269483333333334
House4,2018-06-01 03:00:00,3.322073333333333,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.00161,0.41179,0.7119216666666669,0.00882833333333333,0.5873016666666667
House4,2018-06-01 04:00:00,3.15215,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0012000000000000005,0.386845,0.6628833333333334,0.008608333333333336,0.7627066666666668
House4,2018-06-01 05:00:00,3.242941666666668,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0014133333333333335,0.4058533333333333,0.6717350000000001,0.008815000000000002,0.8061666666666667
House4,2018-06-01 06:00:00,2.9747283333333336,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.001514999999999999,0.3882649999999999,0.5302016666666668,0.008475000000000005,0.7463650000000002
House4,2018-06-01 07:00:00,3.0671000000000004,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0014433333333333331,0.3332466666666667,0.5390566666666671,0.008368333333333334,0.7551566666666666
House4,2018-06-01 08:00:00,3.2251533333333327,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.001288333333333333,0.2997233333333333,0.6427583333333333,0.008133333333333333,0.7553300000000002
House4,2018-06-01 09:00:00,3.322283333333333,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0015483333333333321,0.401775,0.3259950000000003,0.008131666666666659,0.6368199999999999
House4,2018-06-01 10:00:00,0.601029999999998,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0004783333333333333,0.09115666666666654,0.001575,0.002103333333333334,0.0029033333333333337
House4,2018-06-01 11:00:00,1.869305,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.001248333333333333,0.4120700000000001,0.0060049999999999965,0.0067049999999999966,0.010078333333333332
House4,2018-06-01 12:00:00,1.93747,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.001976666666666666,0.4696549999999999,0.007153333333333331,0.007291666666666666,0.011906666666666666
House4,2018-06-01 13:00:00,0.4305100000000008,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0004533333333333334,0.07911166666666647,0.0013883333333333332,0.0015083333333333335,0.002458333333333325
House4,2018-06-01 14:00:00,2.4727716666666666,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0004883333333333332,0.42812166666666657,0.8850566666666667,0.008491666666666658,0.009485000000000002
House4,2018-06-01 15:00:00,2.637445,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0008116666666666678,0.429555,1.1514466666666674,0.009118333333333329,0.011934999999999998
House4,2018-06-01 16:00:00,1.6895633333333329,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.00074,0.2857966666666665,0.6314399999999998,0.006504999999999997,0.008081666666666662
House4,2018-06-01 17:00:00,2.689963333333333,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0011749999999999994,0.3792666666666667,0.9018483333333333,0.009013333333333337,0.43554166666666666
House4,2018-06-01 18:00:00,3.815216666666665,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0012366666666666665,0.4279783333333333,0.5641383333333333,0.008318333333333337,1.2936566666666671
House4,2018-06-01 19:00:00,3.0268150000000005,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0011800000000000005,0.4605400000000001,0.007413333333333332,0.5202883333333332,0.6916216666666666
House4,2018-06-01 20:00:00,3.086005,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0008483333333333331,0.4608816666666666,0.010176666666666662,1.5785816666666663,0.011385
House4,2018-06-01 21:00:00,3.653675,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0009599999999999998,0.4604683333333331,0.16014333333333333,1.4032266666666666,0.012143333333333329
House4,2018-06-01 22:00:00,4.276529999999998,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0014783333333333328,0.4390949999999999,0.6719616666666666,0.1245716666666668,1.0102350000000002
House4,2018-06-01 23:00:00,3.5240183333333315,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0014649999999999995,0.3852116666666666,0.6305183333333333,0.009073333333333329,0.8279049999999999
House4,2018-06-02 00:00:00,3.3960183333333345,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0015516666666666671,0.373,0.6269416666666665,0.009126666666666672,0.8270350000000001
House4,2018-06-02 01:00:00,3.500615000000001,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0015533333333333328,0.4252383333333333,0.6250833333333332,0.008978333333333336,0.8215766666666668
House4,2018-06-02 02:00:00,3.3567716666666683,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0016649999999999985,0.4535383333333332,0.6080383333333335,0.008871666666666663,0.7934666666666665
House4,2018-06-02 03:00:00,3.188066666666665,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0017116666666666671,0.4248683333333333,0.5888133333333333,0.008831666666666666,0.7342716666666668
House4,2018-06-02 04:00:00,2.9149533333333326,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0014533333333333332,0.3989266666666667,0.5844666666666665,0.008943333333333336,0.5929266666666665
House4,2018-06-02 05:00:00,2.8121616666666664,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.001485,0.3817599999999999,0.5837083333333333,0.009038333333333336,0.5800700000000003
House4,2018-06-02 06:00:00,2.6766783333333333,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.001495,0.3562083333333336,0.5861816666666667,0.009005000000000006,0.5805700000000003
House4,2018-06-02 07:00:00,2.72539,5445.01,2,2005,10.0,Yes,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,7,0,6,3,2,10,10,1,0,1,55,2,0.0013999999999999991,0.3735950000000001,0.5980600000000003,0.00893333333333334,0.5998549999999999
