House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,Kitchen_kW,AC_BR_kW,Refrigerator_kW
House42,2018-06-01 00:00:00,0.2788083333333337,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.00023666666666666665,3.3333333333333333e-06,0.03544333333333332
House42,2018-06-01 01:00:00,0.002388333333333334,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0,0.0,0.0006000000000000003
House42,2018-06-01 02:00:00,0.002380000000000001,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0,0.0,0.0006000000000000003
House42,2018-06-01 03:00:00,0.0023883333333333343,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0,0.0,0.0006000000000000003
House42,2018-06-01 04:00:00,0.3297233333333333,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.00014166666666666668,8.66666666666667e-05,0.08370333333333334
House42,2018-06-01 05:00:00,0.5149983333333334,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0002833333333333333,8.66666666666667e-05,0.12590500000000002
House42,2018-06-01 06:00:00,0.2011783333333334,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.00012500000000000006,2.5000000000000008e-05,0.044913333333333284
House42,2018-06-01 07:00:00,0.002998333333333335,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0,0.0,0.0006000000000000003
House42,2018-06-01 08:00:00,0.002998333333333335,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0,0.0,0.0006000000000000003
House42,2018-06-01 09:00:00,0.44869,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.012745000000000001,9.000000000000002e-05,0.11917333333333333
House42,2018-06-01 10:00:00,1.6462466666666669,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.29756499999999986,0.6158533333333334,0.15745499999999998
House42,2018-06-01 11:00:00,0.5255566666666672,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0007583333333333334,0.3452433333333332,0.008898333333333333
House42,2018-06-01 12:00:00,0.0071999999999999955,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0,0.00033166666666666685,0.0020000000000000013
House42,2018-06-01 13:00:00,0.2512783333333333,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.01095,0.0006633333333333334,0.06330999999999999
House42,2018-06-01 14:00:00,1.2740499999999992,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.08207666666666671,0.6534183333333334,0.12099166666666665
House42,2018-06-01 15:00:00,0.2255866666666665,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.01199166666666667,0.1472050000000004,0.015218333333333285
House42,2018-06-01 16:00:00,0.78379,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.024461666666666656,0.3942750000000008,0.0598600000000001
House42,2018-06-01 17:00:00,0.6543266666666674,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.003773333333333329,0.047749999999999966,0.09348499999999987
House42,2018-06-01 18:00:00,0.012900000000000014,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.00010000000000000003,0.0,0.0020000000000000013
House42,2018-06-01 19:00:00,0.5593366666666664,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0005716666666666662,8.666666666666667e-05,0.13700500000000007
House42,2018-06-01 20:00:00,0.5781249999999998,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0005699999999999995,8.833333333333334e-05,0.13674499999999998
House42,2018-06-01 21:00:00,0.578383333333333,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0006049999999999995,5.999999999999996e-05,0.0763116666666667
House42,2018-06-01 22:00:00,0.5949183333333335,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0006733333333333329,8.166666666666667e-05,0.09079166666666667
House42,2018-06-01 23:00:00,0.6340766666666665,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0005666666666666666,8.666666666666667e-05,0.09599666666666666
House42,2018-06-02 00:00:00,0.7154050000000002,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.00039000000000000037,9.500000000000003e-05,0.07932166666666668
