House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_kW,UPS_kW,Refrigerator_kW
House5,2018-06-01 00:00:00,2.8248916666666664,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,1.0920283333333332,0.13466000000000006,0.288115
House5,2018-06-01 01:00:00,2.489451666666667,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,1.1878616666666668,0.08409499999999999,0.2526633333333334
House5,2018-06-01 02:00:00,1.1558449999999998,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.6491316666666659,0.13726666666666668,0.3243049999999999
House5,2018-06-01 03:00:00,2.2358033333333327,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.8556050000000001,0.36305166666666666,0.31157666666666656
House5,2018-06-01 04:00:00,2.6719483333333334,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,1.13249,0.3222733333333335,0.28670833333333323
House5,2018-06-01 05:00:00,2.308369999999999,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,1.124835,0.19218,0.2427283333333333
House5,2018-06-01 06:00:00,2.136505,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,1.1174600000000001,0.13836999999999994,0.2854683333333333
House5,2018-06-01 07:00:00,2.2425200000000007,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,1.1196299999999997,0.13226,0.2009650000000001
House5,2018-06-01 08:00:00,1.7351883333333336,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,1.1511350000000002,0.15172000000000005,0.263
House5,2018-06-01 09:00:00,1.5842183333333335,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,1.1843899999999998,0.18248499999999998,0.21005500000000007
House5,2018-06-01 10:00:00,1.1779,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.3018766666666661,0.1931816666666667,0.19979
House5,2018-06-01 11:00:00,0.5400400000000004,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.08140999999999993,0.19960333333333333,0.24763166666666656
House5,2018-06-01 12:00:00,0.6461483333333333,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.0018449999999999999,0.35137833333333324,0.11289
House5,2018-06-01 13:00:00,1.0554250000000005,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.0035233333333333353,0.4794016666666667,0.3217783333333333
House5,2018-06-01 14:00:00,0.6247699999999998,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.0009233333333333332,0.21288666666666647,0.11577000000000005
House5,2018-06-01 15:00:00,0.9803483333333334,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.0010116666666666668,0.4764749999999999,0.25001500000000004
House5,2018-06-01 16:00:00,0.2287916666666671,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.0002666666666666667,0.10581499999999967,0.07028499999999978
House5,2018-06-01 17:00:00,0.9586299999999998,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.001075,0.4361066666666668,0.3020333333333333
House5,2018-06-01 18:00:00,0.9505199999999998,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.016585,0.42977166666666666,0.1799366666666667
