House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,UPS_kW,AC_LR_kW,Kitchen_kW,AC_MBR_kW
House7,2018-06-01 00:00:00,4.726533333333333,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.3179533333333333,0.004960000000000001,0.16837666666666665,0.0006816666666666669
House7,2018-06-01 01:00:00,4.632356666666668,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.3191516666666666,0.005063333333333332,0.16773833333333332,0.0007283333333333338
House7,2018-06-01 02:00:00,4.251896666666667,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.3663716666666668,0.005326666666666662,0.2141333333333334,0.0005683333333333338
House7,2018-06-01 03:00:00,3.720821666666666,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.3828216666666666,0.005324999999999999,0.1833,0.00039499999999999984
House7,2018-06-01 04:00:00,4.269794999999999,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.3379399999999999,0.005068333333333334,0.1614516666666666,0.0005966666666666669
House7,2018-06-01 05:00:00,3.4798449999999996,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.312295,0.004764999999999999,0.08278500000000003,0.00074
House7,2018-06-01 06:00:00,3.1176766666666667,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.30968500000000004,0.004671666666666666,0.07435499999999999,0.0006966666666666669
House7,2018-06-01 07:00:00,3.496968333333333,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.2905533333333333,0.004878333333333334,0.16752000000000006,0.0006399999999999997
House7,2018-06-01 08:00:00,3.7511133333333335,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.3098733333333333,0.004821666666666668,0.16025666666666658,0.0005533333333333332
House7,2018-06-01 09:00:00,2.9865950000000003,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.36195,0.004958333333333331,0.15767999999999996,0.00039166666666666614
House7,2018-06-01 10:00:00,2.4636216666666666,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.3978316666666667,0.005145000000000002,0.1615333333333333,0.0003583333333333332
House7,2018-06-01 11:00:00,1.202091666666667,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.2649466666666666,0.005028333333333333,0.17407333333333333,0.0013716666666666669
House7,2018-06-01 12:00:00,0.6969550000000004,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.2703083333333332,0.003200000000000002,0.10578499999999998,0.0007900000000000003
House7,2018-06-01 13:00:00,3.123031666666668,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.528135,0.004576666666666668,0.16053499999999998,0.0008600000000000003
House7,2018-06-01 14:00:00,2.980556666666668,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.4991066666666668,0.005041666666666666,0.3062366666666667,0.001011666666666666
House7,2018-06-01 15:00:00,1.504233333333333,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.5867583333333334,0.0059683333333333324,0.46583,0.0015849999999999985
House7,2018-06-01 16:00:00,2.479475,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.5359066666666666,0.005196666666666669,0.22583666666666666,0.0015033333333333342
House7,2018-06-01 17:00:00,2.8104833333333343,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.5638166666666665,0.004953333333333332,0.17934666666666665,0.0014416666666666664
House7,2018-06-01 18:00:00,1.22345,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.5584816666666665,0.005301666666666664,0.2313766666666668,0.0015916666666666677
House7,2018-06-01 19:00:00,0.8324933333333332,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.5287716666666666,0.005128333333333331,0.18449000000000002,0.001455
House7,2018-06-01 20:00:00,0.8003049999999999,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.42054333333333344,0.005049999999999996,0.2506916666666667,0.001316666666666666
House7,2018-06-01 21:00:00,0.8246100000000001,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.4499583333333332,0.005211666666666666,0.19120500000000004,0.001356666666666667
House7,2018-06-01 22:00:00,2.562828333333334,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.3942466666666665,0.004999999999999996,0.17620833333333333,0.0009483333333333336
House7,2018-06-01 23:00:00,3.8357050000000004,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.3116266666666665,0.004985000000000001,0.16787333333333335,0.0005716666666666666
House7,2018-06-02 00:00:00,3.8198216666666656,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.3493516666666667,0.005038333333333336,0.16370999999999994,0.000523333333333333
House7,2018-06-02 01:00:00,3.846208333333335,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.3306950000000001,0.004915,0.15831833333333334,0.0004433333333333333
House7,2018-06-02 02:00:00,3.4526266666666663,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.3668633333333332,0.005205000000000004,0.21793000000000007,0.0003416666666666665
House7,2018-06-02 03:00:00,3.00638,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.4057533333333334,0.005114999999999997,0.17845499999999995,0.00032999999999999984
House7,2018-06-02 04:00:00,3.064748333333333,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.3361933333333333,0.00498,0.1579233333333333,0.0005133333333333332
House7,2018-06-02 05:00:00,2.7442266666666666,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.3635283333333333,0.005069999999999999,0.15798666666666664,0.0006266666666666671
House7,2018-06-02 06:00:00,2.8554733333333338,2450.25,2,2015,10.0,Yes,6,3.0,1.0,1.0,1.0,3 phase,5,3,1,1,5,0,5,1,2,8,10,0,0,1,30,1,0.34456166666666665,0.00506,0.15683,0.0005200000000000001
