House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_kW,Refrigerator_kW,UPS_kW
House8,2018-06-01 00:00:00,0.4679,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.0002266666666666667,0.4662883333333333,0.0007616666666666669
House8,2018-06-01 01:00:00,0.7131783333333334,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00011166666666666668,0.7115183333333335,0.0013949999999999993
House8,2018-06-01 02:00:00,0.8277383333333334,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.0001116666666666668,0.8259316666666667,0.0016033333333333331
House8,2018-06-01 03:00:00,0.5686799999999999,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.0001150000000000001,0.5670599999999999,0.0012200000000000006
House8,2018-06-01 04:00:00,0.29457333333333313,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.000195,0.29316499999999995,0.000596666666666667
House8,2018-06-01 05:00:00,0.2114716666666667,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.0002366666666666668,0.21010833333333329,0.00038166666666666687
House8,2018-06-01 06:00:00,0.16318000000000002,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.0001483333333333333,0.1622,0.00029499999999999985
House8,2018-06-01 07:00:00,0.20164166666666666,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.0002000000000000001,0.20035833333333328,0.0003800000000000002
House8,2018-06-01 08:00:00,0.1985049999999999,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.0002000000000000001,0.1972633333333334,0.00036000000000000024
House8,2018-06-01 09:00:00,0.321445,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00018999999999999998,0.32009499999999996,0.0005100000000000001
House8,2018-06-01 10:00:00,0.2760299999999999,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.0002833333333333334,0.27464333333333346,0.0004816666666666674
House8,2018-06-01 11:00:00,0.2906883333333333,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.0001899999999999998,0.2892000000000001,0.0005749999999999997
House8,2018-06-01 12:00:00,0.4286716666666669,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.0001366666666666668,0.4272500000000001,0.0009016666666666661
House8,2018-06-01 13:00:00,0.5793766666666667,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.0002150000000000001,0.5778749999999999,0.0011583333333333346
House8,2018-06-01 14:00:00,0.5639966666666667,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00014333333333333345,0.5625183333333333,0.0011349999999999984
House8,2018-06-01 15:00:00,0.4450716666666666,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00011500000000000007,0.44358500000000006,0.0008466666666666668
House8,2018-06-01 16:00:00,0.5930183333333334,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00016166666666666665,0.5915116666666668,0.0010849999999999996
House8,2018-06-01 17:00:00,0.7254949999999999,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00014833333333333327,0.7238366666666667,0.0012466666666666663
House8,2018-06-01 18:00:00,0.6315666666666666,816.752,2,1990,15.0,No,3,1.0,0.0,1.0,1.0,1 phase,5,4,1,0,5,0,1,1,1,13,3,1,0,1,12,1,0.00019833333333333346,0.6299333333333332,0.001126666666666667
