House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_LR_kW,AC_BR_kW,AC_kW,AC_kW.1,Kitchen_kW,WP_kW
House9,2018-06-01 00:00:00,0.7652500000000001,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.00064,0.2754166666666661,0.0004716666666666662,0.0003400000000000003,0.15800499999999998,0.13938
House9,2018-06-01 01:00:00,0.39860500000000004,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0007700000000000003,0.00207,0.0004450000000000002,0.0005200000000000001,0.15992166666666666,0.04331666666666672
House9,2018-06-01 02:00:00,0.3398616666666667,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0007916666666666669,0.002398333333333334,0.0004933333333333337,0.0006900000000000003,0.15871833333333332,0.05212833333333335
House9,2018-06-01 03:00:00,0.3901866666666667,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0007366666666666662,0.002296666666666666,0.0003850000000000002,0.0006199999999999997,0.16042666666666675,0.09577
House9,2018-06-01 04:00:00,1.0391216666666665,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0005333333333333337,0.6818533333333332,0.0005199999999999998,0.00019333333333333304,0.15894499999999992,0.027486666666666614
House9,2018-06-01 05:00:00,1.2784200000000001,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0005183333333333336,0.9956733333333332,0.0006150000000000003,7.499999999999998e-05,0.15889666666666669,0.0008633333333333332
House9,2018-06-01 06:00:00,1.3795183333333332,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.20826333333333333,0.9652366666666669,0.0005116666666666669,0.00057,0.15549666666666667,0.002415
House9,2018-06-01 07:00:00,1.1672,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.04553333333333332,0.9324716666666664,0.0005150000000000004,0.0003450000000000004,0.14847499999999994,0.0035816666666666705
House9,2018-06-01 08:00:00,1.123828333333333,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0003850000000000002,0.9445483333333332,0.0005233333333333337,0.00030500000000000004,0.14475333333333334,0.000641666666666667
House9,2018-06-01 09:00:00,1.1483433333333333,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.00036500000000000025,0.9688583333333332,0.0005383333333333335,0.000275,0.144145,0.0006633333333333329
